trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
402,False,"{'a': 0.99, 'e': 0.017593337264871736}",20,12,13.579008770229034,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.99, 'e': 0.01741740389222302}",20,10,18.806400665023173,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.99, 'e': 0.01724322985330079}",20,16,5.8651166637430805,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.99, 'e': 0.017070797554767782}",20,6,31.14262849488076,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.99, 'e': 0.016900089579220106}",20,16,11.270459869253523,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.99, 'e': 0.016731088683427906}",25,13,26.71127963188537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.99, 'e': 0.016563777796593626}",20,9,21.20679159570474,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.99, 'e': 0.016398140018627688}",30,16,-13.675801816847992,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
410,False,"{'a': 0.99, 'e': 0.01623415861844141}",25,17,16.926347112826036,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.99, 'e': 0.016071817032256998}",25,17,14.742428392290694,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.99, 'e': 0.01591109886193443}",25,18,12.169657149562026,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.99, 'e': 0.015751987873315085}",25,3,41.31353050784824,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.99, 'e': 0.015594467994581935}",20,0,30.02882801056795,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.99, 'e': 0.015438523314636115}",20,6,23.540287669696397,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.99, 'e': 0.015284138081489753}",20,7,28.628093879154683,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.99, 'e': 0.015131296700674856}",20,10,18.526199296282726,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.99, 'e': 0.014979983733668108}",20,3,27.99070211558842,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.99, 'e': 0.014830183896331426}",30,16,28.927941597462482,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.99, 'e': 0.014681882057368112}",20,2,29.341662297287918,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.99, 'e': 0.01453506323679443}",25,15,19.642658133678776,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.99, 'e': 0.014389712604426485}",25,0,37.68191182061155,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
423,False,"{'a': 0.99, 'e': 0.01424581547838222}",20,10,21.02065397230134,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.99, 'e': 0.014103357323598397}",25,11,22.164622328346013,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.99, 'e': 0.013962323750362413}",30,16,26.382726202666284,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.99, 'e': 0.013822700512858789}",25,16,18.233604432630454,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.99, 'e': 0.0136844735077302}",25,7,27.038512191203893,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.99, 'e': 0.013547628772652899}",25,20,8.713126403613954,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.99, 'e': 0.01341215248492637}",20,10,19.425563592640646,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.99, 'e': 0.013278030960077106}",25,2,39.56085833336283,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.99, 'e': 0.013145250650476335}",20,11,17.203437159311665,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.99, 'e': 0.01301379814397157}",20,11,17.708023632215443,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.99, 'e': 0.012883660162531854}",30,17,23.13600200423908,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.99, 'e': 0.012754823560906535}",25,16,20.483966070454834,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.99, 'e': 0.01262727532529747}",25,19,12.752117421744417,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.99, 'e': 0.012501002572044496}",25,11,23.191107633524883,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.99, 'e': 0.01237599254632405}",30,15,27.43483012338249,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.99, 'e': 0.01225223262086081}",30,18,20.86235971204082,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
