trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.98, 'e': 0.08676711527143827}",20,3,30.49470509470945,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.98, 'e': 0.0850317729660095}",35,18,21.268693287056735,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.98, 'e': 0.08333113750668932}",20,5,24.62768548470539,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.98, 'e': 0.08166451475655553}",25,17,13.452210563893491,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.98, 'e': 0.08003122446142442}",20,14,11.828062436352395,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.98, 'e': 0.07843059997219594}",35,11,42.78134486990289,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.98, 'e': 0.07686198797275202}",25,15,19.581739511863404,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.98, 'e': 0.07532474821329699}",25,10,12.090573954221453,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.98, 'e': 0.07381825324903105}",25,8,-7.952154794844924,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.98, 'e': 0.07234188818405042}",20,0,25.521317416617546,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.98, 'e': 0.07089505042036941}",25,11,23.231358300414044,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.98, 'e': 0.06947714941196202}",30,0,38.30309490387316,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.98, 'e': 0.06808760642372277}",25,11,15.865033866936422,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.98, 'e': 0.06672585429524831}",25,18,16.183962175682435,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.98, 'e': 0.06539133720934334}",20,14,11.868134342996106,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.98, 'e': 0.06408351046515648}",20,3,30.114384850632977,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.98, 'e': 0.06280184025585335}",20,6,27.193106152672804,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.98, 'e': 0.061545803450736285}",20,10,20.777435946262678,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.98, 'e': 0.060314887381721555}",20,7,21.17867444955685,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.98, 'e': 0.05910858963408712}",30,13,32.48212916042754,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.98, 'e': 0.05792641784140538}",20,0,9.978371036973497,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
142,False,"{'a': 0.98, 'e': 0.05676788948457727}",20,13,1.5485760013797503,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.98, 'e': 0.055632531694885724}",20,6,25.844883957401635,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.98, 'e': 0.054519881060988006}",20,3,28.22707395512142,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.98, 'e': 0.05342948343976824}",35,7,51.40857340672028,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.98, 'e': 0.052360893770972874}",25,11,28.610344496740836,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.98, 'e': 0.05131367589555342}",30,10,30.070567538467284,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.98, 'e': 0.05028740237764235}",20,12,15.743623064736665,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.98, 'e': 0.0492816543300895}",25,8,33.68602352221861,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.98, 'e': 0.04829602124348771}",20,6,27.156206297162022,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.98, 'e': 0.04733010081861796}",25,7,-3.1226997733104174,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
152,False,"{'a': 0.98, 'e': 0.0463834988022456}",20,14,10.693364229900594,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.98, 'e': 0.04545582882620069}",30,10,36.46689110877265,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.98, 'e': 0.04454671224967667}",25,15,18.389782736764552,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.98, 'e': 0.043655778004683135}",25,12,-31.243957222034332,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.98, 'e': 0.04278266244458947}",25,2,37.22018478366615,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.98, 'e': 0.04192700919569768}",20,5,27.565134562972716,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.98, 'e': 0.04108846901178373}",20,10,17.845843279933074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.98, 'e': 0.04026669963154805}",25,15,18.919179998896414,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.98, 'e': 0.03946136563891709}",30,14,26.71756283697772,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.98, 'e': 0.03867213832613875}",25,13,23.846272371251047,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.98, 'e': 0.037898695559615975}",20,5,29.80550656654644,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.98, 'e': 0.03714072164842366}",30,19,20.345705695454775,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.98, 'e': 0.03639790721545518}",20,10,17.798343508292024,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.98, 'e': 0.035669949071146075}",25,16,19.096998106693523,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.98, 'e': 0.034956550089723155}",20,6,28.340492820656667,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.98, 'e': 0.03425741908792869}",20,6,24.60410529719565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.98, 'e': 0.03357227070617012}",20,14,14.451855421706945,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.98, 'e': 0.032900825292046715}",20,4,18.062715909871685,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.98, 'e': 0.03224280878620578}",25,20,9.130722515006621,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.98, 'e': 0.031597952610481664}",30,8,36.824665263490274,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.98, 'e': 0.03096599355827203}",35,17,27.619680445607386,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.98, 'e': 0.030346673687106588}",25,15,18.836359089311458,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.98, 'e': 0.029739740213364455}",20,6,26.391702920221327,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.98, 'e': 0.029144945409097164}",30,12,31.79426151242479,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.98, 'e': 0.02856204650091522}",20,6,11.939009033861193,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.98, 'e': 0.027990805570896914}",20,9,19.927739220301813,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.98, 'e': 0.027430989459478975}",25,11,14.983242975491468,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.98, 'e': 0.026882369670289397}",20,9,21.696140581116214,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.98, 'e': 0.026344722276883607}",20,12,15.410959909357754,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.98, 'e': 0.025817827831345935}",30,19,4.9394124641126265,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.98, 'e': 0.025301471274719014}",20,10,19.685515111291124,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.98, 'e': 0.024795441849224633}",20,3,29.120454782454466,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.98, 'e': 0.02429953301224014}",30,16,23.491616282104562,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
